Автор;Название;Год;страницы;Издательство;;Тип;Регион;Ключевые;;направление;Полное название
;Экспериментальные и теоретические исследования изменения трещинной проницаемости коллекторов Юрубчено-Тохомского месторождения;2013;;Геология, геофизика и разработка нефтяных и газовых месторождений ;;статья;Восточная Сибирь;рифей;;литология, нефтегазоносность;Ашихмин С.Г., Кашников Ю.А., Якимов С.Ю. Экспериментальные и теоретические исследования изменения трещинной проницаемости коллекторов Юрубчено-Тохомского месторождения // Геология, геофизика и разработка нефтяных и газовых месторождений, 2013, №2. С. 36-41
Ампилов Ю.П.;Блоковая делимость земной коры и нефтегазоносность: теория и методика исследований;2012;;Нефтегазовая геология. Теория и практика;;статья;ВС;;;тектоника, нефтегазоносность;Арчегов В.Б. Блоковая делимость земной коры и нефтегазоносность: теория и методика исследований // Нефтегазовая геология. Теория и практика, 2012, т.7, № 2, с.1-31
Аширбеков У.А., Зонн И.С.;Осадочные системы сылвицкой серии (верхний венд Среднего Урала);2010;;Екатеринбург: УрО РАН;;монография.Содержание;Урал;венд;;геология;Гражданкин Д.В., Маслов А.В., Крупенин М.Т., Ронкин Ю.Л.Осадочные системы сылвицкой серии (верхний венд Среднего Урала)  // Екатеринбург: УрО РАН, 2010, 263 с.
Большаков В.А.;Методические рекомендации по использованию сейсморазведки для подсчета запасов УВ в условиях карбонатных пород с пороситостью трещинно-каверного типа;2010;;М.:ЦГЭ;;монография;;;;сейсморазведка, нефтегазоносность;Левянт В.Б., Хромова И.Ю., Козлов Е.А.,Керусов И.Н., Кащеев Д.Е., Колесов В.В., Мармалевский Н.Я.Методические рекомендации по использованию сейсморазведки для подсчета запасов УВ в условиях карбонатных пород с пороситостью трещинно-каверного типа // М.: ЦГЭ, 2010, с.250
Бутаев А.М.;Новые и нетрадиционные типы месторождений полезных ископаемых Прибайкалья и Забайкалья;2010;;Улан-Удэ:ЭКОС;;материалы конференции;Восточная Сибирь;;;геология;Новые и нетрадиционные типы месторождений полезных ископаемых Прибайкалья и Забайкалья /  Материалы Всеросийской научно-практической конференции 10-12 ноября 2010г. / Отв. редактор Е.В. Кислова.  // Улан-Удэ: ЭКОС, 2010, с. 208 
Буш Д.А.;Особенности строения отложений кембрийского комплекса в пределах Мирнинского выступа (Непко-Ботуобинская антеклиза);2010;;Томск: Известия Томского политехнического университета;;статья;Восточная Сибирь;венд кембрий;;нефтегазоносность;Абросимова О.О., Кулагин С.И. Особенности строения отложений кембрийского комплекса в пределах Мирнинского выступа (Непко-Ботуобинская антеклиза) // Томск: Известия ТПУ, 2010, т.316, № 1, с.48-52
Гольдберг И.С.;Микрофитологическая характеристика галогенно-карбонатных пород осинского горизонта нижнего Приангарья Восточной Сибири;2010;;;Нефтегазовая геология. Теория и практика;статья;Восточная Сибирь;кембрий;;стратиграфия;Аркадьева О.В. Гильдин С.М. Микрофитологическая характеристика галогенно-карбонатных пород осинского горизонта нижнего Приангарья Восточной Сибири // Нефтегазовая геология.Теория и практика, 2010, № 5, с.1-11
Гражданкин Д.В., Маслов А.В., Крупенин М.Т., Ронкин Ю.Л.;Строение, нефтегазоносность и факторы контроля зональных скоплений УВ в древних комплексах Сибирской платформы;2010;;Нефтегазовая геология. Теория и практика;;статья;ВС;;;геология, тектоника, нефтегазоносность;Арчегов В.Б. Строение, нефтегазоносность и факторы контроля зональных скоплений УВ в древних комплексах Сибирской платформы // Нефтегазовая геология. Теория и практика, 2010, т. 5, № 3, с.1-13
Каплин П.А., Селиванов А.О.;Культура речи молодого специалиста;2010;;Тамбов: Издательство ГОУ ВПО ТГТУ;;учебное пособие;;;;;Глазкова М.М.. Любезная Е.В. Культура речи молодого специалиста Тамбов: Издательство ГОУ ВПО ТГТУ
Каширцев В.А.;От сейсмической интерпретации к моделированию и оценке месторождений нефти и газа;2008;;"М.: ООО ""Центральное издательство геофизической литературы"" - ""СПЕКТР""";;монография;;;;сейсморазведка, моделирование;"Ампилов Ю.П. От сейсмической интерпретации к моделированию и оценке месторождений нефти и газа // М.: ООО ""Издательство  ""СПЕКТР"""", 2008. 348 с."
Каширцев В.А.;Петрология и структурное положение интурзивных траппов запада Сибирской платформы;2008;;Красноярск: СФУ;;монограффия;ВС;;;геология, тектоника, магматизм;Прусская С.Н. Петрология и структурное положение интурзивных траппов запада Сибирской платформы // Красноярск: СФУ, 2008, с.248 
Клубов Б.А.;Тектоническая позиция и основные структуры моря Лаптевых;2008;;;Нефтегазовая геология. Теория и практика;статья;Арктика;;;тектоника, сейсморазведка;Андиева Т.А. Тектоническая позиция и основные структуры моря Лаптевых // Нефтегазовая геология. Теория и практика, 2008, № 3, с.1-28
Конторович А.Э., Сурков В.С., Трофимук А.А., Шемин Г.Г.;Блоковая делимость и источники нефти на юге Анабарской антеклизы в свзяи с развитием нефтегазового комплекса Сибирской платформы;2008;;Нефтегазовая геология. Теория и практика;;статья;ВС;;;геология, тектоника, нефтегазоносность;Арчегов В.Б. Блоковая делимость и источники нефти на юге Анабарской антеклизы в свзяи с развитием нефтегазового комплекса Сибирской платформы // Нефтегазовая геология. Теория и практика, 2008, № 3, с.1-33
Конюхов А.И.;Геология и  перспективы нефтегазоносности венда и нижнего кембрия центральных районов Сибирской платформы (Непско-Ботуобинская, Байкитская антеклизы и Катангская седловина);2007;;Новосибирск:Издательство СО РАН;;монография;Восточная Сибирь;венд кембрий;;нефтегазоносность;Шемин Г.Г. Геология и  перспективы нефтегазоносности венда и нижнего кембрия центральных районов Сибирской платформы (Непско-Ботуобинская, Байкитская антеклизы и Катангская седловина) // Новосибирск:Издательство СО РАН, 2007, с.467
Кушмар И.А., Григоренко Ю.Н., Ананьев В.В., Белинкин В.А., Губина Е.А.;Нефть и газ Восточной Сибири ;2006;;СПб: Недра;;монография;Восточная Сибирь;рифей венд кембрий ордовик-девон;;стратиграфия нефтегазоносность экономика;Кушмар И.А., Григоренко Ю.Н., Ананьев В.В., Белинкин В.А., Губина Е.А.Нефть и газ Восточной Сибири  // СПб.: Недра, 2006, с.102 
Левянт В.Б., Хромова И.Ю., Козлов Е.А.,Керусов И.Н., Кащеев Д.Е., Колесов В.В., Мармалевский Н.Я.;Морфоструктура суши;2006;;Горно-Алтайск:Горно-Алтайский государственный университет;;словарь-справочник;;;;геоморфология; Мананкова Т. И. Морфоструктура суш / Словарь-справочник //  Горно-Алтайск: Горно-Алтайский государственный университет, 2006, 126 с.
Леонов Ю.Г., Волож Ю.А.;Шарьяжно-надвиговая тектоника;2005;;Иркутск: Иркутский государственный университет;;учебное пособие;;;;тектоника;Сизых В.И., Сизых А.И. Шарьяжно-надвиговая тектоника / Учебное пособие // Иркутск: Иркутский государственный университет, 2005, с.196
Мазур И.И., Лобов А.;Лекции Красавчикова на примере пакета Surfer;2005;;;;;;;;;Лекции Красавчикова на примере пакета Surfer // 2005
Маслов А.В., Гареев Э.З., Крупенин М.Т.;Осадочные бассейны: методика изучения, строение и эволюция;2004;;М.:Научный мир;;монография;;;;геология, литология, геодинамика;Леонов Ю.Г., Волож Ю.А. Осадочные бассейны: методика изучения, строение и эволюция / Труды ГИН РАН, вып.543  //  М.: Научный мир, 2004, с. 526 
Мейен С.В. ;Нефть и газ. Мировая история;2004;;" М.: Издательский дом ""Земля и человек.XXI век"", ИЦ "" Елима"" ";;монография;;;;геология нефтегазоносность;"Мазур И.И., Лобов А. Нефть и газ.Мировая история // М.: Изд. Дом ""Земля и человек XXI век"". ИЦ ""Елима"", 2004, с.896"
Прусская С.Н.;Климат в эпохи крупных биосферных перестроек;2004;;М.:Наука;;монография;;;;геология;Семихатов М.А., Чумаков Н.М. Климат в эпохи крупных биосферных перестроек. Труды ГИН РАН, вып.550 // М.: Наука, 2004, с.299
